Index,Date,Closing Price
BSX,2020-03-27,"1,498.86"
BSX,2020-03-30,"1,503.66"
BSX,2020-03-31,"1,502.26"
BSX,2020-04-01,"1,502.26"
BSX,2020-04-02,"1,502.26"
BSX,2020-04-03,"1,500.55"
BSX,2020-04-06,"1,501.75"
BSX,2020-04-07,"1,502.55"
BSX,2020-04-08,"1,508.25"
BSX,2020-04-09,"1,509.05"
BSX,2020-04-13,"1,502.85"
BSX,2020-04-15,"1,502.85"
BSX,2020-04-16,"1,475.86"
BSX,2020-04-17,"1,543.33"
BSX,2020-04-20,"1,543.33"
BSX,2020-04-21,"1,543.53"
BSX,2020-04-22,"1,542.73"
BSX,2020-04-23,"1,542.73"
BSX,2020-04-24,"1,542.73"
BSX,2020-04-27,"1,542.73"
BSX,2020-04-28,"1,542.73"
BSX,2020-04-29,"1,542.73"
BSX,2020-04-30,"1,652.75"
BSX,2020-05-01,"1,651.38"
BSX,2020-05-04,"1,653.79"
BSX,2020-05-05,"1,654.21"
BSX,2020-05-06,"1,623.80"
BSX,2020-05-07,"1,623.80"
BSX,2020-05-08,"1,595.35"
BSX,2020-05-11,"1,597.44"
BSX,2020-05-12,"1,597.44"
BSX,2020-05-13,"1,597.44"
BSX,2020-05-14,"1,597.44"
BSX,2020-05-15,"1,595.52"
BSX,2020-05-18,"1,595.52"
BSX,2020-05-19,"1,595.52"
BSX,2020-05-20,"1,594.04"
BSX,2020-05-21,"1,728.97"
BSX,2020-05-22,"1,728.97"
BSX,2020-05-25,"1,728.97"
BSX,2020-05-26,"1,755.95"
BSX,2020-05-27,"1,755.15"
BSX,2020-05-28,"1,906.69"
BSX,2020-06-01,"1,783.01"
BSX,2020-06-02,"1,782.92"
BSX,2020-06-03,"1,782.00"
BSX,2020-06-04,"1,778.40"
BSX,2020-06-05,"1,780.20"
IGPA,2020-01-02,"16,715.20"
